title,type,year,rating,imdb_score,rotten_score,decade,imdb_bucket,genres_Action_Adventure,genres_Animation,genres_Biography,genres_Children,genres_Comedy,genres_Crime,genres_Cult,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Food,genres_Game Show,genres_History,genres_Horror,genres_Independent,genres_LGBTQ,genres_Musical,genres_Mystery,genres_Reality,genres_Romance,genres_Science_Fiction,genres_Sport,genres_Stand_up_Talk,genres_Thriller,genres_Travel,platforms_acorntv,platforms_amazon_prime,platforms_cinemax,platforms_epix,platforms_fandor,platforms_free,platforms_fubo_tv,platforms_hbo,platforms_hbo_max,platforms_hoopla,platforms_hulu_plus,platforms_kanopy,platforms_netflix,platforms_shoutfactorytv,platforms_sundancenow,platforms_syfy_tveverywhere,platforms_tlc_go,platforms_viceland_tve,genre,platform
Casino Royale,,2006,PG-13/TV-14,8.0,95.0,2000-2009,7.51-8.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Comedy']","['platforms_hbo', 'platforms_hbo_max']"
Casino Royale,,1967,,5.2,26.0,1960-1969,5.01-6.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Casino Royale,,1967,,5.2,26.0,1960-1969,5.01-6.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Comedy']","['platforms_hbo', 'platforms_hbo_max']"
The Sopranos,TV,1999,R/TV-MA,9.2,92.0,1990-1999,9.01-9.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Westworld,TV,2016,R/TV-MA,8.7,83.0,2010-2019,8.51-9.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Mystery', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Requiem for a Dream,,2000,R/TV-MA,8.3,79.0,2000-2009,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Slumdog Millionaire,,2008,R/TV-MA,8.0,91.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
La La Land,,2016,PG-13/TV-14,8.0,91.0,2010-2019,7.51-8.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Musical', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
True Detective,TV,2014,R/TV-MA,9.0,78.0,2010-2019,8.51-9.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Prisoners,,2013,R/TV-MA,8.1,81.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Rush,,2013,R/TV-MA,8.1,88.0,2010-2019,8.01-8.50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Biography', 'genres_Drama', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
X-Men: First Class,,2011,PG-13/TV-14,7.7,86.0,2010-2019,7.51-8.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Cinema Paradiso,,1988,PG/TV-PG,8.5,89.0,1980-1989,8.01-8.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
Cast Away,,2000,PG-13/TV-14,7.8,88.0,2000-2009,7.51-8.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
BlacKkKlansman,,2018,R/TV-MA,7.5,96.0,2010-2019,7.01-7.50,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Comedy', 'genres_Crime', 'genres_Drama', 'genres_History']","['platforms_hbo', 'platforms_hbo_max']"
Shutter Island,,2010,R/TV-MA,8.1,68.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Mystery', 'genres_Thriller']",['platforms_hbo']
John Wick: Chapter 3 - Parabellum,,2019,R/TV-MA,7.5,90.0,2010-2019,7.01-7.50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Crime', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
In Bruges,,2008,R/TV-MA,7.9,84.0,2000-2009,7.51-8.00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Crime', 'genres_Cult', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
A Star Is Born,,2018,R/TV-MA,7.7,90.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Musical', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Bohemian Rhapsody,,2018,PG-13/TV-14,8.0,60.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_LGBTQ', 'genres_Musical']","['platforms_hbo', 'platforms_hbo_max']"
Last Week Tonight with John Oliver,TV,2014,R/TV-MA,8.9,98.0,2010-2019,8.51-9.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,['genres_Comedy'],"['platforms_hbo', 'platforms_hbo_max']"
The Fighter,,2010,R/TV-MA,7.8,91.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
