title,type,year,rating,imdb_score,rotten_score,decade,imdb_bucket,genres_Action_Adventure,genres_Animation,genres_Biography,genres_Children,genres_Comedy,genres_Crime,genres_Cult,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Food,genres_Game Show,genres_History,genres_Horror,genres_Independent,genres_LGBTQ,genres_Musical,genres_Mystery,genres_Reality,genres_Romance,genres_Science_Fiction,genres_Sport,genres_Stand_up_Talk,genres_Thriller,genres_Travel,platforms_acorntv,platforms_amazon_prime,platforms_cinemax,platforms_epix,platforms_fandor,platforms_free,platforms_fubo_tv,platforms_hbo,platforms_hbo_max,platforms_hoopla,platforms_hulu_plus,platforms_kanopy,platforms_netflix,platforms_shoutfactorytv,platforms_sundancenow,platforms_syfy_tveverywhere,platforms_tlc_go,platforms_viceland_tve,genre,platform
Cobain: Montage of Heck,,2015,R/TV-MA,7.5,97.0,2010-2019,7.01-7.50,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Animation', 'genres_Biography', 'genres_Documentary', 'genres_Musical']","['platforms_hbo', 'platforms_hbo_max']"
Open Range,,2003,R/TV-MA,7.4,79.0,2000-2009,7.01-7.50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Paradise Lost 3: Purgatory,,2011,,8.1,100.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Documentary']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
John Adams,TV,2008,PG-13/TV-14,8.5,81.0,2000-2009,8.01-8.50,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_History', 'genres_Reality']","['platforms_amazon_prime', 'platforms_hbo', 'platforms_hbo_max']"
The SpongeBob SquarePants Movie,,2004,PG/TV-PG,7.1,68.0,2000-2009,7.01-7.50,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Animation', 'genres_Comedy', 'genres_Family', 'genres_Fantasy', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
The Tree of Life,,2011,PG-13/TV-14,6.8,84.0,2010-2019,6.01-7.00,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Fantasy']","['platforms_hbo', 'platforms_hbo_max']"
The Lego Movie 2: The Second Part,,2019,PG/TV-PG,6.6,85.0,2010-2019,6.01-7.00,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Animation', 'genres_Comedy', 'genres_Family', 'genres_Fantasy', 'genres_Musical', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Chocolat,,2000,PG-13/TV-14,7.2,62.0,2000-2009,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
Armageddon,,1998,PG-13/TV-14,6.7,38.0,1990-1999,6.01-7.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Mystery', 'genres_Science_Fiction', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Sophie's Choice,,1982,R/TV-MA,7.6,76.0,1980-1989,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
The Fountain,,2006,PG-13/TV-14,7.2,52.0,2000-2009,7.01-7.50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_Mystery', 'genres_Romance', 'genres_Science_Fiction']",['platforms_hbo']
Mr. & Mrs. Smith,,2005,PG-13/TV-14,6.5,60.0,2000-2009,6.01-7.00,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Comedy', 'genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Maria Full of Grace,,2004,R/TV-MA,7.4,97.0,2000-2009,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
He Got Game,,1998,R/TV-MA,6.9,81.0,1990-1999,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Independent', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
Robin Williams: Come Inside My Mind,,2018,R/TV-MA,8.0,94.0,2010-2019,7.51-8.00,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Comedy', 'genres_Documentary', 'genres_Stand_up_Talk']","['platforms_hbo', 'platforms_hbo_max']"
Cold Mountain,,2003,R/TV-MA,7.2,70.0,2000-2009,7.01-7.50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Drama', 'genres_History', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
Death at a Funeral,,2007,R/TV-MA,7.4,62.0,2000-2009,7.01-7.50,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Cult', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Gia,,1998,R/TV-MA,7.0,92.0,1990-1999,6.01-7.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
The Deuce,TV,2017,R/TV-MA,8.1,93.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,['genres_Drama'],"['platforms_hbo', 'platforms_hbo_max']"
My Big Fat Greek Wedding,,2002,PG/TV-PG,6.5,76.0,2000-2009,6.01-7.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
In the Bedroom,,2001,R/TV-MA,7.4,93.0,2000-2009,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Independent', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hoopla']"
Uncle Buck,,1989,PG/TV-PG,7.0,61.0,1980-1989,6.01-7.00,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Family']","['platforms_hbo', 'platforms_hbo_max']"
Buena Vista Social Club,,1999,G/TV-G,7.7,91.0,1990-1999,7.51-8.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Documentary', 'genres_Musical']","['platforms_hbo', 'platforms_hbo_max']"
I Know This Much Is True,TV,2020,R/TV-MA,8.2,73.0,2020-2029,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,['genres_Drama'],"['platforms_hbo', 'platforms_hbo_max']"
Birds of Passage,,2018,,7.5,96.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
Commando,,1985,R/TV-MA,6.7,71.0,1980-1989,6.01-7.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Mamma Mia! Here We Go Again,,2018,PG-13/TV-14,6.7,79.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Musical', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Spielberg,,2017,R/TV-MA,7.7,92.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Documentary']","['platforms_hbo', 'platforms_hbo_max']"
Boy Erased,,2018,R/TV-MA,6.9,81.0,2010-2019,6.01-7.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_LGBTQ']","['platforms_hbo', 'platforms_hbo_max']"
Andre the Giant,,2018,PG-13/TV-14,7.8,95.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Documentary', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
The Kite Runner,,2007,PG-13/TV-14,7.6,65.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,['genres_Drama'],"['platforms_hbo', 'platforms_hbo_max']"
The Judge,,2014,R/TV-MA,7.4,48.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
You Don't Know Jack,,2010,,7.6,91.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama']","['platforms_hbo', 'platforms_hbo_max']"
And the Band Played On,,1993,PG-13/TV-14,7.8,100.0,1990-1999,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_LGBTQ']","['platforms_hbo', 'platforms_hbo_max']"
Mommy Dead and Dearest,,2017,R/TV-MA,7.4,100.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Documentary']","['platforms_hbo', 'platforms_hbo_max']"
Lights Out,,2016,PG-13/TV-14,6.3,76.0,2010-2019,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Horror', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Quadrophenia,,1979,R/TV-MA,7.3,100.0,1970-1979,7.01-7.50,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"['genres_Crime', 'genres_Cult', 'genres_Drama', 'genres_Musical']","['platforms_hbo', 'platforms_hbo_max', 'platforms_kanopy']"
Behind the Candelabra,,2013,R/TV-MA,7.0,95.0,2010-2019,6.01-7.00,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Comedy', 'genres_Drama', 'genres_LGBTQ', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Opening Night,,1977,PG-13/TV-14,8.0,96.0,1970-1979,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"['genres_Drama', 'genres_Independent']","['platforms_hbo', 'platforms_hbo_max', 'platforms_kanopy']"
Mr. Holland's Opus,,1995,PG/TV-PG,7.3,75.0,1990-1999,7.01-7.50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Family', 'genres_Musical']","['platforms_hbo', 'platforms_hbo_max']"
The Defiant Ones,TV,2017,R/TV-MA,8.5,100.0,2010-2019,8.01-8.50,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Crime', 'genres_Documentary']","['platforms_hbo', 'platforms_hbo_max']"
Benny & Joon,,1993,PG/TV-PG,7.2,75.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Sex and the City,TV,1998,R/TV-MA,7.1,71.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_fubo_tv', 'platforms_hbo', 'platforms_hbo_max']"
Defending Your Life,,1991,PG/TV-PG,7.2,97.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Fantasy', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
The Thomas Crown Affair,,1999,R/TV-MA,6.8,70.0,1990-1999,6.01-7.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Romance', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
The Frighteners,,1996,R/TV-MA,7.1,63.0,1990-1999,7.01-7.50,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Cult', 'genres_Fantasy', 'genres_Horror']","['platforms_cinemax', 'platforms_hbo', 'platforms_hbo_max']"
Ballers,TV,2015,R/TV-MA,7.6,72.0,2010-2019,7.51-8.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
The Crash Reel,,2013,,8.2,96.0,2010-2019,8.01-8.50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Documentary', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
The Art of Racing in the Rain,,2019,PG/TV-PG,7.5,43.0,2010-2019,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
Angels in America,TV,2003,R/TV-MA,8.2,90.0,2000-2009,8.01-8.50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Fantasy', 'genres_LGBTQ', 'genres_Romance']","['platforms_amazon_prime', 'platforms_hbo', 'platforms_hbo_max']"
The Good Liar,,2019,R/TV-MA,6.6,63.0,2010-2019,6.01-7.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
All the Way,,2016,PG-13/TV-14,7.3,88.0,2010-2019,7.01-7.50,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_History']","['platforms_hbo', 'platforms_hbo_max']"
Dragged Across Concrete,,2019,R/TV-MA,7.0,76.0,2010-2019,6.01-7.00,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Crime', 'genres_Drama', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Looking,TV,2014,R/TV-MA,8.2,90.0,2010-2019,8.01-8.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_LGBTQ', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Godzilla: King of the Monsters,,2019,PG-13/TV-14,6.0,42.0,2010-2019,5.01-6.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Fantasy', 'genres_Science_Fiction', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
The Last Unicorn,,1982,G/TV-G,7.5,71.0,1980-1989,7.01-7.50,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"['genres_Action_Adventure', 'genres_Animation', 'genres_Drama', 'genres_Family', 'genres_Fantasy']","['platforms_hbo', 'platforms_hbo_max', 'platforms_shoutfactorytv']"
Living in Oblivion,,1995,R/TV-MA,7.5,88.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama']","['platforms_free', 'platforms_hbo', 'platforms_hbo_max', 'platforms_kanopy']"
61*,,2001,R/TV-MA,7.8,85.0,2000-2009,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_History', 'genres_Sport']","['platforms_hbo', 'platforms_hbo_max']"
Muriel's Wedding,,1994,R/TV-MA,7.2,78.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
Crimson Peak,,2015,R/TV-MA,6.5,72.0,2010-2019,6.01-7.00,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Fantasy', 'genres_Horror', 'genres_Mystery', 'genres_Romance', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Gentleman Jack,TV,2019,R/TV-MA,8.2,90.0,2010-2019,8.01-8.50,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_History', 'genres_LGBTQ', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Another Earth,,2011,PG-13/TV-14,7.0,66.0,2010-2019,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Drama', 'genres_Romance', 'genres_Science_Fiction']","['platforms_hbo', 'platforms_hbo_max']"
Out of Africa,,1985,PG/TV-PG,7.2,58.0,1980-1989,7.01-7.50,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Drama', 'genres_History', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Citizen X,,1995,R/TV-MA,7.5,88.0,1990-1999,7.01-7.50,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Biography', 'genres_Crime', 'genres_Drama', 'genres_History', 'genres_Mystery', 'genres_Thriller']","['platforms_hbo', 'platforms_hbo_max']"
Looking: The Movie,,2016,R/TV-MA,7.5,89.0,2010-2019,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_LGBTQ', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max']"
Beautiful Girls,,1996,R/TV-MA,7.1,79.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hoopla']"
Home Alone 2: Lost in New York,,1992,PG/TV-PG,6.8,33.0,1990-1999,6.01-7.00,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Action_Adventure', 'genres_Children', 'genres_Comedy', 'genres_Crime', 'genres_Family']","['platforms_hbo', 'platforms_hbo_max']"
4 Little Girls,,1997,PG-13/TV-14,7.8,100.0,1990-1999,7.51-8.00,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"['genres_Documentary', 'genres_History']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hulu_plus']"
Biutiful,,2010,R/TV-MA,7.5,66.0,2010-2019,7.01-7.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"['genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_kanopy']"
In a World...,,2013,R/TV-MA,6.7,92.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Documentary']","['platforms_hbo', 'platforms_hbo_max']"
Emma,,1996,PG/TV-PG,6.6,84.0,1990-1999,6.01-7.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"['genres_Comedy', 'genres_Drama', 'genres_Romance']","['platforms_hbo', 'platforms_hbo_max', 'platforms_hoopla']"
